# k[h/Mpc]   P_delta,delta   P_delta,theta   P_theta,theta 
0.0024729510594334787   9003.722668652277    9002.611405762187   9001.51818929269
0.0024840652415764703   9037.8927972276    9036.767322108559   9035.660196456804
0.002495229374180162   9072.165823942232    9071.025958623644   9069.904750814778
0.002506443681736873   9106.541801548776    9105.387365902778   9104.251900884676
0.0025177083897478577   9141.020780551587    9139.851592268591   9138.701692888511
0.0025290237247278416   9175.602809183978    9174.418683748061   9173.254170727903
0.0025403899142095766   9210.287931027851    9209.088681687641   9207.909373599929
0.002551807186748408   9245.076190086755    9243.861627817461   9242.667341041384
0.0025632757719268847   9279.9676294724    9278.737562956192   9277.528111675434
0.002574795900359365   9314.962288138528    9313.716523748617   9312.491719921287
0.0025863678036966587   9350.060202666478    9348.798544437926   9347.558197773795
0.0025979917146306823   9385.261407267797    9383.983656870781   9382.72757480403
0.002609667866899142   9420.565933736529    9419.271890449541   9417.999878116072
0.0026213964952902244   9455.973811452614    9454.663272134663   9453.375132343397
0.002633177835647332   9491.485067350954    9490.157826413093   9488.85335962183
0.0026450121248738144   9527.099725915506    9525.755575295221   9524.43457958487
0.002656899600937738   9562.817807239282    9561.456536368856   9560.118807412517
0.0026688405028766657   9598.63932914246    9597.260724903323   9595.906055921627
0.0026808350708024723   9634.564311969552    9633.168158672406   9631.79634042009
0.002692883545906159   9670.592770163406    9669.178849529395   9667.78967027174
0.002704986170462717   9706.724715612268    9705.292806741765   9703.886052228636
0.0027171431878359937   9742.960157628248    9741.510036970913   9740.085490406564
0.0027293548424835857   9779.299101324812    9777.83054264976   9776.387984665944
0.0027416213799617544   9815.741542083166    9814.254316449073   9812.7935250778
0.0027539430469303685   9852.287470587542    9850.781346313346   9849.30209695732
0.0027663200911578513   9888.936874696838    9887.411617331762   9885.913682734636
0.00277875276152618   9925.689739444937    9924.145111734955   9922.628261953036
0.0027912413080358783   9962.546040543064    9960.981802387518   9959.44580474687
0.002803785981811048   9999.505763057425    9997.921671466362   9996.366290522203
0.0028163870351044173   10036.568883819358    10034.964692904605   10033.389690430915
0.002829044721302415   10073.735376326984    10072.110837265378   10070.51597222604
0.0028417592949302605   10111.005211141523    10109.360072144222   10107.745100659677
0.002854531011657088   10148.378355857118    10146.712362136834   10145.077037455609
0.0028673601283010883   10185.85477511784    10184.167668854212   10182.511741319035
0.002880246902834665   10223.434430548448    10221.72595085689   10220.049167871817
0.002893191594389631   10261.117280769353    10259.387163663972   10257.689269663986
0.0029061944632624145   10298.903281350178    10297.151259709228   10295.431996130186
0.002919255770919288   10336.792382199432    10335.018185730516   10333.277290970458
0.0029323757800016385   10374.784529021745    10372.987884194234   10371.225093551608
0.0029455547543312407   10412.879674150823    10411.060304176666   10409.27534983198
0.002958792958915561   10451.077760787733    10449.235385600323   10447.427996596745
0.002972090659953091   10489.378729017755    10487.51306523445   10485.682967440973
0.002985448124838698   10527.78251573543    10525.893276620458   10524.040192696728
0.0029988656221689976   10566.289054666222    10564.375950091984   10562.49959945879
0.003012343421747764   10604.89827477074    10602.961011182311   10601.061109979559
0.0030258817945913482   10643.610092289122    10641.648372664891   10639.724633724782
0.0030394810129341305   10682.424416545911    10680.437940367396   10678.490073172046
0.0030531413502339934   10721.341153353542    10719.32961655987   10717.357327211219
0.003066863081177824   10760.360199923587    10758.323294869391   10756.3262860447
0.003080646481687026   10799.481453620634    10797.41886899935   10795.396839872968
0.0030944918289230842   10838.704815766185    10836.61623660057   10834.5688828386
0.003108399401293129   10878.030178010049    10875.91528561742   10873.842299354998
0.003122369478455534   10917.457428425178    10915.315900383373   10913.216970180098
0.003136402341325543   10956.98645147355    10954.817961574074   10952.692772379594
0.003150498272080917   10996.617127959287    10994.421346171723   10992.269579283316
0.0031646575541676033   11036.349335065575    11034.125927492554   11031.947260522296
0.003178880472305446   11076.182946261202    11073.93157509644   11071.72568192381
0.003193167312493903   11116.117831328314    11113.838154814433   11111.604705551068
0.0032075183620177998   11156.153856304725    11153.845528689626   11151.584189640691
0.003221933909453107   11196.29087776942    11193.95354926029   11191.663982876238
0.0032364142446727425   11236.528750732163    11234.16206739689   11231.843932176687
0.003250959658852393   11276.867338577367    11274.470942340737   11272.123892840107
0.003265570444476384   11317.30649222032    11314.880020829518   11312.503707622845
0.0032802468953435494   11357.846058713454    11355.389145699799   11352.983215336288
0.003294989306573144   11398.485881292481    11395.998155920217   11393.562250889554
0.0033097979746107807   11439.22579927441    11436.706886493377   11434.240645181118
0.0033246731972343757   11480.065646988274    11477.515167392292   11475.018224029045
0.0033396152735601604   11521.005245502696    11518.422815282787   11515.894799911679
0.003354624504048679   11562.04440717876    11559.429638076674   11556.870176510358
0.0033697011905108373   11603.182940096913    11600.535439360709   11597.944153126959
0.0033848456361139675   11644.420645735592    11641.740016066928   11639.116522372751
0.00340005814538793   11685.757309350975    11683.043148805904   11680.387060433906
0.003415339024231226   11727.19274238332    11724.44464432011   11721.755569594266
0.0034306885799171636   11768.726735963091    11765.94428904922   11763.221831828561
0.003446107121100027   11810.35907687474    11807.54186503322   11804.785624655597
0.0034615949578212842   11852.089547594955    11849.237149946635   11846.44672120298
0.0034771524015158235   11893.91792624729    11891.029917066344   11888.204890132767
0.0034927797650182164   11935.843986595952    11932.919935249873   11930.059895650045
0.0035084773625689986   11977.86749799844    11974.90696891685   11972.011497464042
0.003524245509821006   12019.988225402078    12016.99077799169   12014.059450758396
0.003540084523845709   12062.205929299598    12059.171117930107   12056.203506181278
0.0035559947231395927   12104.520365711456    12101.447739633026   12098.4434097852
0.0035719764276305596   12146.931269905202    12143.820373182449   12140.77888672599
0.0035880299586843693   12189.438395944484    12186.288767322629   12183.209680712236
0.0036041556391110834   12232.041494578198    12228.85266751955   12225.735532175606
0.0036203537931715794   12274.740303731296    12271.511806358863   12268.356168652033
0.0036366247465840574   12317.534556718741    12314.265911764429   12311.071312947211
0.003652968826530591   12360.42398233672    12357.114707082119   12353.880683242156
0.003669386361663709   12403.408303637814    12400.057909857802   12396.783991873444
0.003685877682113007   12446.487226501167    12443.095220417335   12439.780933891581
0.0037024431194917704   12489.660443550934    12486.226325766704   12482.87119099234
0.003719083006903664   12532.927642357583    12529.45090780562   12526.054439693109
0.003735797678949419   12576.288505363062    12572.76864324752   12569.330351292454
0.0037525874717335593   12619.742710025215    12616.179203756617   12612.698591967825
0.0037694527228711652   12663.289896561795    12659.682223636319   12656.15879042245
0.003786393771494664   12706.929762676386    12703.277394574021   12699.710632645454
0.0038034109582606324   12750.661970922944    12746.964373146011   12743.353769559792
0.003820504625356674   12794.486178253122    12790.74281026477   12787.087846369406
0.0038376751165082796   12838.402036497604    12834.612351661428   12830.91250301558
0.0038549227769857464   12882.409192312138    12878.572637812786   12874.827374164213
0.0038722479536111186   12926.507287074392    12922.623303874238   12918.83208907716
0.003889650994765167   12970.695957052474    12966.763979822672   12962.926271782559
0.0039071322503943795   13014.974833158087    13010.994290216813   13007.109540839561
0.003924692072018018   13059.343541068329    13055.31385431035   13051.381509435325
0.003942330812735173   13103.80170110668    13099.722285943271   13095.741785294173
0.003960048827231871   13148.34892344538    13144.21918874665   13140.189965858213
0.003977846471788201   13192.984784840479    13188.804132720985   13184.725614760671
0.003995724104285485   13237.708925744553    13233.476751525257   13229.348359255797
0.004013682084213459   13282.520945049535    13278.23663730434   13274.057785108738
0.004031720772677529   13327.420436198649    13323.08337666096   13318.853472474579
0.004049840532406007   13372.406986672138    13368.016550181314   13363.734995419478
0.004068041727757419   13417.480166500833    13413.035720927175   13408.701910452786
0.004086324724727825   13462.639529752205    13458.140435926955   13453.753757978762
0.0041046898909581865   13507.884624334485    13503.330235994674   13498.890072108956
0.0041231375957417405   13553.214992246663    13548.604655955045   13544.110380922784
0.00414166821003145   13598.63016979535    13593.96322486972   13589.414206649588
0.004160282106447448   13644.129687247123    13639.405465693615   13634.801065376772
0.004178979659284534   13689.713066147893    13684.930892588141   13680.270464309691
0.004197761244519701   13735.379774705278    13730.538966162458   13725.82185690309
0.004216627239819696   13781.129376379196    13776.229242189116   13771.454791693188
0.004235578024548607   13826.961377720225    13822.001219593922   13817.168760415578
0.0042546139797755055   13872.875279244143    13867.854391178893   13862.963248653748
0.004273735488282098   13918.87057547862    13913.788243721358   13908.83773585753
0.004292942934570426   13964.946754875533    13959.80225780507   13954.79169524466
0.004312236704870602   14011.103299986376    14005.895908062013   14000.824593985235
0.00433161718714857   14057.339687095422    14052.068662776323   14046.93589287039
0.004351084771113904   14103.655386497374    14098.319984168906   14093.125046523146
0.0043706398482276565   14150.049862379581    14144.649328238378   14139.391503294848
0.00439028281171022   14196.522572687622    14191.056144723147   14185.734705186818
0.004410014056549239   14243.072969431258    14237.539877316662   14232.154088085006
0.004429833979507548   14289.700439908442    14284.0999048318   14278.649022831922
0.004449742979131159   14336.4044642027    14330.735698578479   14325.21897253225
0.004469741455757256   14383.184489933758    14377.446697591773   14371.863368162443
0.004489829811522269   14430.03993217258    14424.232308283357   14418.581607997492
0.004510008450369947   14476.970186658262    14471.09191766525   14465.373070874846
0.004530277778059483   14523.974641599256    14518.024905108441   14512.237127920329
0.004550638202173673   14571.052678666547    14565.030643412952   14559.173143560833
0.0045710901321271155   14618.203672858215    14612.108498569385   14606.180475414476
0.0045916339791744285   14665.426992555282    14659.257829886143   14653.258474297467
0.004612270156418545   14712.721999459685    14706.477989928047   14700.406484187504
0.0046329990788189996   14760.088048517688    14753.768324388835   14747.623842170082
0.004653821163200282   14807.524488001518    14801.128172227347   14794.909878462355
0.004674736828260215   14855.030626151909    14848.556832237207   14842.263883056678
0.004695746494578379   14902.605765556387    14896.053597186174   14889.68513949887
0.004716850584624549   14950.2492956916    14943.617846798372   14937.173018393756
0.004738049522767225   14997.960537655947    14991.24889243094   14984.726822025623
0.004759343735282136   15045.738805716046    15038.94603859076   15032.345845745944
0.004780733650360822   15093.583407303    15086.708582805803   15080.029377862444
0.004802219698119249   15141.493643063746    15134.535815775047   15127.77669975733
0.0048238023106064514   15189.468806809411    15182.427021191552   15175.587085737996
0.004845481921813212   15237.508185388237    15230.381475785509   15223.459803042262
0.004867258967680808   15285.61105887695    15278.398449331293   15271.394111915553
0.004889133886109767   15333.776700245664    15326.477204482184   15319.389265356662
0.004911107116968668   15382.004375898754    15374.616997228592   15367.444509621597
0.004933179102102994   15430.293344785629    15422.817075948495   15415.559083308
